"","100","99","98","97","96","95","94","93","92","91","90","89","88","87","86","85","84","83","82","81","80","79","78","77","76","75","74","73","72","71","70","69","68","67","66","65","64","63","62","61","60","59","58","57","56","55","54","53","52","51","50","49","48","47","46","45","44","43","42","41","40","39","38","37","36","35","34","33","32","31","30","29","28","27","26","25","24","23","22","21","20","19","18","17","16","15","14","13","12","11","10","9","8","7","6","5","4","3","2"
"covid_555_1.2","mc100-5","mc99-4","mc98-4","mc97-4","mc96-3","mc95-3","mc94-3","mc93-2","mc92-2","mc91-2","mc90-1","mc89-1","mc88-1","mc87-11","mc86-11","mc85-10","mc84-10","mc83-10","mc82-9","mc81-9","mc80-8","mc79-8","mc78-7","mc77-7","mc76-6","mc75-6","mc74-5","mc73-5","mc72-4","mc71-3","mc70-3","mc69-2","mc68-1","mc67-1","mc66-30","mc65-30","mc64-30","mc63-31","mc62-31","mc61-31","mc60-31","mc59-30","mc58-30","mc57-29","mc56-28","mc55-28","mc54-28","mc53-28","mc52-29","mc51-29","mc50-28","mc49-27","mc48-27","mc47-27","mc46-26","mc45-25","mc44-23","mc43-23","mc42-22","mc41-20","mc40-19","mc39-17","mc38-15","mc37-13","mc36-11","mc35-8","mc34-6","mc33-3","mc32-18","mc31-15","mc30-12","mc29-9","mc28-6","mc27-2","mc26-82","mc25-83","mc24-84","mc23-84","mc22-85","mc21-84","mc20-80","mc19-79","mc18-75","mc17-71","mc16-62","mc15-53","mc14-42","mc13-28","mc12-9","mc11-157","mc10-145","mc9-131","mc8-103","mc7-56","mc6-411","mc5-450","mc4-498","mc3-501","mc2-283"
"covid_555_1.7","mc100-9","mc99-8","mc98-8","mc97-8","mc96-7","mc95-7","mc94-7","mc93-6","mc92-6","mc91-6","mc90-5","mc89-5","mc88-5","mc87-4","mc86-4","mc85-3","mc84-3","mc83-3","mc82-2","mc81-2","mc80-1","mc79-1","mc78-13","mc77-13","mc76-12","mc75-12","mc74-12","mc73-12","mc72-11","mc71-10","mc70-10","mc69-9","mc68-8","mc67-8","mc66-8","mc65-7","mc64-7","mc63-6","mc62-5","mc61-4","mc60-4","mc59-3","mc58-3","mc57-2","mc56-1","mc55-8","mc54-7","mc53-6","mc52-5","mc51-4","mc50-2","mc49-1","mc48-16","mc47-16","mc46-14","mc45-13","mc44-11","mc43-10","mc42-9","mc41-7","mc40-5","mc39-3","mc38-1","mc37-32","mc36-30","mc35-27","mc34-26","mc33-23","mc32-21","mc31-18","mc30-15","mc29-12","mc28-9","mc27-5","mc26-2","mc25-80","mc24-81","mc23-81","mc22-82","mc21-81","mc20-76","mc19-74","mc18-69","mc17-64","mc16-55","mc15-45","mc14-34","mc13-18","mc12-152","mc11-142","mc10-127","mc9-108","mc8-74","mc7-22","mc6-181","mc5-107","mc4-554","mc3-645","mc2-712"
"covid_555_1.13","mc100-1","mc99-19","mc98-19","mc97-19","mc96-18","mc95-18","mc94-18","mc93-17","mc92-17","mc91-17","mc90-16","mc89-16","mc88-16","mc87-16","mc86-16","mc85-15","mc84-15","mc83-15","mc82-14","mc81-14","mc80-13","mc79-13","mc78-12","mc77-12","mc76-11","mc75-11","mc74-11","mc73-11","mc72-10","mc71-9","mc70-9","mc69-8","mc68-7","mc67-7","mc66-7","mc65-6","mc64-6","mc63-5","mc62-4","mc61-3","mc60-3","mc59-2","mc58-1","mc57-37","mc56-36","mc55-36","mc54-36","mc53-37","mc52-38","mc51-38","mc50-39","mc49-39","mc48-40","mc47-40","mc46-39","mc45-38","mc44-36","mc43-36","mc42-35","mc41-33","mc40-32","mc39-31","mc38-31","mc37-30","mc36-28","mc35-25","mc34-24","mc33-21","mc32-19","mc31-16","mc30-13","mc29-10","mc28-7","mc27-3","mc26-39","mc25-36","mc24-32","mc23-27","mc22-22","mc21-16","mc20-9","mc19-1","mc18-98","mc17-98","mc16-93","mc15-90","mc14-81","mc13-72","mc12-57","mc11-40","mc10-13","mc9-284","mc8-310","mc7-335","mc6-351","mc5-339","mc4-281","mc3-92","mc2-713"
"covid_555_1.29","mc100-13","mc99-12","mc98-12","mc97-12","mc96-11","mc95-11","mc94-11","mc93-10","mc92-10","mc91-10","mc90-9","mc89-9","mc88-9","mc87-8","mc86-8","mc85-7","mc84-7","mc83-7","mc82-6","mc81-6","mc80-5","mc79-5","mc78-4","mc77-4","mc76-3","mc75-3","mc74-2","mc73-2","mc72-1","mc71-16","mc70-16","mc69-15","mc68-14","mc67-14","mc66-14","mc65-14","mc64-14","mc63-13","mc62-12","mc61-11","mc60-11","mc59-10","mc58-10","mc57-9","mc56-8","mc55-7","mc54-6","mc53-5","mc52-4","mc51-3","mc50-1","mc49-28","mc48-28","mc47-28","mc46-27","mc45-26","mc44-24","mc43-24","mc42-23","mc41-21","mc40-20","mc39-18","mc38-16","mc37-14","mc36-12","mc35-9","mc34-7","mc33-4","mc32-1","mc31-53","mc30-51","mc29-50","mc28-49","mc27-46","mc26-45","mc25-42","mc24-38","mc23-33","mc22-28","mc21-23","mc20-16","mc19-9","mc18-166","mc17-175","mc16-184","mc15-195","mc14-199","mc13-208","mc12-216","mc11-226","mc10-240","mc9-251","mc8-264","mc7-263","mc6-251","mc5-197","mc4-67","mc3-394","mc2-16"
"covid_555_1.40","mc100-9","mc99-8","mc98-8","mc97-8","mc96-7","mc95-7","mc94-7","mc93-6","mc92-6","mc91-6","mc90-5","mc89-5","mc88-5","mc87-4","mc86-4","mc85-3","mc84-3","mc83-3","mc82-2","mc81-2","mc80-1","mc79-1","mc78-13","mc77-13","mc76-12","mc75-12","mc74-12","mc73-12","mc72-11","mc71-10","mc70-10","mc69-9","mc68-8","mc67-8","mc66-8","mc65-7","mc64-7","mc63-6","mc62-5","mc61-4","mc60-4","mc59-3","mc58-3","mc57-2","mc56-1","mc55-8","mc54-7","mc53-6","mc52-5","mc51-4","mc50-2","mc49-1","mc48-16","mc47-16","mc46-14","mc45-13","mc44-11","mc43-10","mc42-9","mc41-7","mc40-5","mc39-3","mc38-1","mc37-32","mc36-30","mc35-27","mc34-26","mc33-23","mc32-21","mc31-18","mc30-15","mc29-12","mc28-9","mc27-5","mc26-2","mc25-20","mc24-15","mc23-10","mc22-4","mc21-46","mc20-40","mc19-34","mc18-26","mc17-18","mc16-7","mc15-17","mc14-4","mc13-192","mc12-199","mc11-204","mc10-209","mc9-207","mc8-205","mc7-180","mc6-134","mc5-42","mc4-509","mc3-532","mc2-356"
"covid_555_1.42","mc100-1","mc99-19","mc98-19","mc97-19","mc96-18","mc95-18","mc94-18","mc93-17","mc92-17","mc91-17","mc90-16","mc89-16","mc88-16","mc87-16","mc86-16","mc85-15","mc84-15","mc83-15","mc82-14","mc81-14","mc80-13","mc79-13","mc78-12","mc77-12","mc76-11","mc75-11","mc74-11","mc73-11","mc72-10","mc71-9","mc70-9","mc69-8","mc68-7","mc67-7","mc66-7","mc65-6","mc64-6","mc63-5","mc62-4","mc61-3","mc60-3","mc59-2","mc58-1","mc57-53","mc56-54","mc55-55","mc54-56","mc53-57","mc52-58","mc51-59","mc50-61","mc49-62","mc48-63","mc47-64","mc46-66","mc45-67","mc44-69","mc43-69","mc42-71","mc41-70","mc40-70","mc39-71","mc38-73","mc37-74","mc36-76","mc35-78","mc34-80","mc33-81","mc32-83","mc31-84","mc30-86","mc29-88","mc28-90","mc27-92","mc26-96","mc25-97","mc24-99","mc23-102","mc22-103","mc21-102","mc20-102","mc19-103","mc18-102","mc17-102","mc16-97","mc15-94","mc14-85","mc13-76","mc12-62","mc11-46","mc10-19","mc9-249","mc8-262","mc7-259","mc6-240","mc5-183","mc4-48","mc3-31","mc2-714"
"covid_555_1.59","mc100-5","mc99-4","mc98-4","mc97-4","mc96-3","mc95-3","mc94-3","mc93-2","mc92-2","mc91-2","mc90-1","mc89-1","mc88-1","mc87-11","mc86-11","mc85-10","mc84-10","mc83-10","mc82-9","mc81-9","mc80-8","mc79-8","mc78-7","mc77-7","mc76-6","mc75-6","mc74-5","mc73-5","mc72-4","mc71-3","mc70-3","mc69-2","mc68-1","mc67-1","mc66-1","mc65-10","mc64-10","mc63-9","mc62-8","mc61-7","mc60-7","mc59-6","mc58-6","mc57-5","mc56-4","mc55-3","mc54-2","mc53-1","mc52-21","mc51-21","mc50-19","mc49-18","mc48-18","mc47-18","mc46-16","mc45-15","mc44-13","mc43-12","mc42-11","mc41-9","mc40-7","mc39-5","mc38-3","mc37-1","mc36-63","mc35-60","mc34-60","mc33-58","mc32-57","mc31-57","mc30-55","mc29-54","mc28-53","mc27-51","mc26-51","mc25-48","mc24-44","mc23-40","mc22-36","mc21-31","mc20-24","mc19-17","mc18-8","mc17-62","mc16-53","mc15-43","mc14-32","mc13-15","mc12-209","mc11-217","mc10-228","mc9-233","mc8-234","mc7-223","mc6-189","mc5-118","mc4-365","mc3-236","mc2-96"
"covid_555_1.72","mc100-9","mc99-8","mc98-8","mc97-8","mc96-7","mc95-7","mc94-7","mc93-6","mc92-6","mc91-6","mc90-5","mc89-5","mc88-5","mc87-4","mc86-4","mc85-3","mc84-3","mc83-3","mc82-2","mc81-2","mc80-1","mc79-1","mc78-30","mc77-30","mc76-30","mc75-30","mc74-30","mc73-30","mc72-29","mc71-29","mc70-29","mc69-30","mc68-31","mc67-31","mc66-32","mc65-32","mc64-32","mc63-33","mc62-33","mc61-33","mc60-33","mc59-33","mc58-33","mc57-32","mc56-31","mc55-31","mc54-31","mc53-31","mc52-32","mc51-32","mc50-32","mc49-32","mc48-33","mc47-33","mc46-32","mc45-31","mc44-29","mc43-29","mc42-28","mc41-26","mc40-25","mc39-24","mc38-23","mc37-21","mc36-19","mc35-16","mc34-14","mc33-11","mc32-8","mc31-5","mc30-2","mc29-68","mc28-68","mc27-66","mc26-66","mc25-63","mc24-61","mc23-58","mc22-56","mc21-53","mc20-48","mc19-45","mc18-37","mc17-29","mc16-19","mc15-6","mc14-200","mc13-209","mc12-217","mc11-227","mc10-242","mc9-253","mc8-266","mc7-266","mc6-254","mc5-201","mc4-75","mc3-286","mc2-216"
"covid_555_1.81","mc100-24","mc99-25","mc98-25","mc97-25","mc96-25","mc95-25","mc94-25","mc93-24","mc92-24","mc91-24","mc90-23","mc89-23","mc88-23","mc87-23","mc86-23","mc85-23","mc84-23","mc83-23","mc82-22","mc81-22","mc80-21","mc79-21","mc78-21","mc77-21","mc76-21","mc75-21","mc74-21","mc73-21","mc72-20","mc71-20","mc70-20","mc69-19","mc68-18","mc67-18","mc66-18","mc65-18","mc64-18","mc63-18","mc62-18","mc61-17","mc60-17","mc59-16","mc58-16","mc57-15","mc56-14","mc55-14","mc54-13","mc53-13","mc52-12","mc51-11","mc50-9","mc49-8","mc48-7","mc47-6","mc46-4","mc45-3","mc44-1","mc43-22","mc42-21","mc41-19","mc40-18","mc39-16","mc38-14","mc37-12","mc36-10","mc35-7","mc34-5","mc33-2","mc32-55","mc31-55","mc30-53","mc29-52","mc28-51","mc27-49","mc26-48","mc25-45","mc24-41","mc23-36","mc22-31","mc21-26","mc20-19","mc19-12","mc18-3","mc17-1","mc16-172","mc15-180","mc14-180","mc13-184","mc12-190","mc11-193","mc10-193","mc9-190","mc8-183","mc7-154","mc6-99","mc5-2","mc4-257","mc3-54","mc2-14"
"covid_555_1.92","mc100-21","mc99-22","mc98-22","mc97-22","mc96-21","mc95-21","mc94-21","mc93-20","mc92-20","mc91-20","mc90-19","mc89-19","mc88-19","mc87-19","mc86-19","mc85-18","mc84-18","mc83-18","mc82-17","mc81-17","mc80-16","mc79-16","mc78-16","mc77-16","mc76-15","mc75-15","mc74-15","mc73-15","mc72-14","mc71-13","mc70-13","mc69-12","mc68-11","mc67-11","mc66-11","mc65-11","mc64-11","mc63-10","mc62-9","mc61-8","mc60-8","mc59-7","mc58-7","mc57-6","mc56-5","mc55-4","mc54-3","mc53-2","mc52-1","mc51-18","mc50-16","mc49-15","mc48-14","mc47-14","mc46-12","mc45-11","mc44-9","mc43-8","mc42-6","mc41-4","mc40-2","mc39-43","mc38-44","mc37-44","mc36-42","mc35-39","mc34-39","mc33-37","mc32-35","mc31-32","mc30-29","mc29-27","mc28-24","mc27-20","mc26-17","mc25-12","mc24-7","mc23-1","mc22-32","mc21-27","mc20-20","mc19-13","mc18-4","mc17-16","mc16-5","mc15-96","mc14-87","mc13-78","mc12-64","mc11-48","mc10-21","mc9-71","mc8-33","mc7-114","mc6-52","mc5-7","mc4-65","mc3-646","mc2-715"
