"","100","99","98","97","96","95","94","93","92","91","90","89","88","87","86","85","84","83","82","81","80","79","78","77","76","75","74","73","72","71","70","69","68","67","66","65","64","63","62","61","60","59","58","57","56","55","54","53","52","51","50","49","48","47","46","45","44","43","42","41","40","39","38","37","36","35","34","33","32","31","30","29","28","27","26","25","24","23","22","21","20","19","18","17","16","15","14","13","12","11","10","9","8","7","6","5","4","3","2"
"HIP002.9","mc100-6","mc99-6","mc98-6","mc97-5","mc96-5","mc95-5","mc94-5","mc93-5","mc92-4","mc91-4","mc90-4","mc89-4","mc88-3","mc87-3","mc86-3","mc85-3","mc84-2","mc83-2","mc82-2","mc81-1","mc80-1","mc79-1","mc78-23","mc77-23","mc76-23","mc75-24","mc74-24","mc73-24","mc72-23","mc71-23","mc70-23","mc69-23","mc68-23","mc67-23","mc66-23","mc65-22","mc64-22","mc63-22","mc62-22","mc61-23","mc60-23","mc59-24","mc58-24","mc57-24","mc56-23","mc55-23","mc54-22","mc53-22","mc52-22","mc51-22","mc50-21","mc49-21","mc48-21","mc47-21","mc46-20","mc45-20","mc44-19","mc43-18","mc42-18","mc41-17","mc40-16","mc39-15","mc38-14","mc37-13","mc36-12","mc35-10","mc34-9","mc33-8","mc32-6","mc31-4","mc30-2","mc29-54","mc28-53","mc27-54","mc26-52","mc25-51","mc24-50","mc23-50","mc22-50","mc21-48","mc20-45","mc19-42","mc18-37","mc17-32","mc16-25","mc15-18","mc14-9","mc13-89","mc12-83","mc11-75","mc10-64","mc9-48","mc8-26","mc7-137","mc6-104","mc5-44","mc4-1","mc3-390","mc2-305"
"HIP002.16","mc100-6","mc99-6","mc98-6","mc97-5","mc96-5","mc95-5","mc94-5","mc93-5","mc92-4","mc91-4","mc90-4","mc89-4","mc88-3","mc87-3","mc86-3","mc85-3","mc84-2","mc83-2","mc82-2","mc81-1","mc80-1","mc79-1","mc78-3","mc77-3","mc76-3","mc75-2","mc74-2","mc73-2","mc72-1","mc71-1","mc70-1","mc69-8","mc68-8","mc67-7","mc66-7","mc65-6","mc64-6","mc63-5","mc62-5","mc61-4","mc60-4","mc59-3","mc58-3","mc57-2","mc56-1","mc55-1","mc54-32","mc53-32","mc52-32","mc51-32","mc50-31","mc49-32","mc48-32","mc47-32","mc46-31","mc45-31","mc44-31","mc43-30","mc42-30","mc41-30","mc40-30","mc39-29","mc38-28","mc37-27","mc36-26","mc35-25","mc34-25","mc33-24","mc32-22","mc31-20","mc30-18","mc29-15","mc28-13","mc27-10","mc26-7","mc25-4","mc24-1","mc23-39","mc22-38","mc21-36","mc20-32","mc19-29","mc18-24","mc17-19","mc16-12","mc15-5","mc14-120","mc13-128","mc12-133","mc11-136","mc10-139","mc9-137","mc8-141","mc7-124","mc6-87","mc5-24","mc4-115","mc3-439","mc2-459"
"HIP002.20","mc100-11","mc99-11","mc98-11","mc97-11","mc96-11","mc95-11","mc94-11","mc93-11","mc92-11","mc91-11","mc90-11","mc89-11","mc88-10","mc87-10","mc86-10","mc85-10","mc84-10","mc83-10","mc82-10","mc81-9","mc80-9","mc79-9","mc78-9","mc77-9","mc76-9","mc75-8","mc74-8","mc73-8","mc72-7","mc71-7","mc70-7","mc69-6","mc68-6","mc67-5","mc66-5","mc65-4","mc64-4","mc63-3","mc62-3","mc61-2","mc60-2","mc59-1","mc58-1","mc57-14","mc56-13","mc55-13","mc54-12","mc53-11","mc52-11","mc51-10","mc50-9","mc49-8","mc48-7","mc47-7","mc46-6","mc45-5","mc44-4","mc43-3","mc42-2","mc41-27","mc40-27","mc39-26","mc38-25","mc37-24","mc36-23","mc35-22","mc34-22","mc33-21","mc32-19","mc31-17","mc30-15","mc29-12","mc28-10","mc27-7","mc26-4","mc25-1","mc24-60","mc23-61","mc22-62","mc21-60","mc20-58","mc19-55","mc18-53","mc17-49","mc16-43","mc15-38","mc14-29","mc13-19","mc12-6","mc11-90","mc10-79","mc9-66","mc8-48","mc7-13","mc6-154","mc5-110","mc4-27","mc3-270","mc2-6"
"HIP002.23","mc100-1","mc99-1","mc98-1","mc97-19","mc96-19","mc95-19","mc94-19","mc93-19","mc92-20","mc91-20","mc90-20","mc89-20","mc88-21","mc87-21","mc86-21","mc85-21","mc84-22","mc83-22","mc82-22","mc81-22","mc80-22","mc79-22","mc78-22","mc77-22","mc76-22","mc75-23","mc74-23","mc73-23","mc72-22","mc71-22","mc70-22","mc69-22","mc68-22","mc67-22","mc66-22","mc65-21","mc64-21","mc63-21","mc62-21","mc61-22","mc60-22","mc59-23","mc58-23","mc57-23","mc56-22","mc55-22","mc54-21","mc53-20","mc52-20","mc51-20","mc50-19","mc49-18","mc48-18","mc47-18","mc46-17","mc45-17","mc44-16","mc43-15","mc42-15","mc41-13","mc40-12","mc39-11","mc38-10","mc37-9","mc36-8","mc35-6","mc34-4","mc33-3","mc32-1","mc31-44","mc30-44","mc29-42","mc28-40","mc27-38","mc26-36","mc25-35","mc24-33","mc23-31","mc22-28","mc21-26","mc20-22","mc19-18","mc18-12","mc17-6","mc16-106","mc15-107","mc14-110","mc13-112","mc12-108","mc11-106","mc10-96","mc9-86","mc8-73","mc7-44","mc6-72","mc5-8","mc4-194","mc3-65","mc2-24"
"HIP002.32","mc100-1","mc99-1","mc98-1","mc97-19","mc96-19","mc95-19","mc94-19","mc93-19","mc92-20","mc91-20","mc90-20","mc89-20","mc88-21","mc87-21","mc86-21","mc85-21","mc84-22","mc83-22","mc82-22","mc81-22","mc80-22","mc79-22","mc78-22","mc77-22","mc76-22","mc75-23","mc74-23","mc73-23","mc72-22","mc71-22","mc70-22","mc69-22","mc68-22","mc67-22","mc66-22","mc65-21","mc64-21","mc63-21","mc62-21","mc61-22","mc60-22","mc59-23","mc58-23","mc57-23","mc56-22","mc55-22","mc54-21","mc53-20","mc52-20","mc51-20","mc50-19","mc49-18","mc48-18","mc47-18","mc46-17","mc45-17","mc44-16","mc43-15","mc42-15","mc41-13","mc40-12","mc39-11","mc38-10","mc37-9","mc36-8","mc35-6","mc34-4","mc33-3","mc32-1","mc31-44","mc30-44","mc29-42","mc28-40","mc27-38","mc26-36","mc25-35","mc24-33","mc23-31","mc22-28","mc21-26","mc20-22","mc19-18","mc18-12","mc17-6","mc16-106","mc15-107","mc14-110","mc13-112","mc12-108","mc11-106","mc10-96","mc9-86","mc8-73","mc7-44","mc6-72","mc5-8","mc4-194","mc3-65","mc2-83"
"HIP002.38","mc100-6","mc99-6","mc98-6","mc97-5","mc96-5","mc95-5","mc94-5","mc93-5","mc92-4","mc91-4","mc90-4","mc89-4","mc88-3","mc87-3","mc86-3","mc85-3","mc84-2","mc83-2","mc82-2","mc81-1","mc80-1","mc79-1","mc78-23","mc77-23","mc76-23","mc75-24","mc74-24","mc73-24","mc72-23","mc71-23","mc70-23","mc69-23","mc68-23","mc67-23","mc66-23","mc65-22","mc64-22","mc63-22","mc62-22","mc61-23","mc60-23","mc59-24","mc58-24","mc57-24","mc56-23","mc55-23","mc54-22","mc53-22","mc52-22","mc51-22","mc50-21","mc49-21","mc48-21","mc47-21","mc46-20","mc45-20","mc44-19","mc43-18","mc42-18","mc41-17","mc40-16","mc39-15","mc38-14","mc37-13","mc36-12","mc35-10","mc34-9","mc33-8","mc32-6","mc31-4","mc30-2","mc29-54","mc28-53","mc27-54","mc26-52","mc25-51","mc24-50","mc23-50","mc22-50","mc21-48","mc20-45","mc19-42","mc18-37","mc17-32","mc16-25","mc15-18","mc14-9","mc13-89","mc12-83","mc11-75","mc10-64","mc9-48","mc8-26","mc7-137","mc6-104","mc5-44","mc4-380","mc3-440","mc2-460"
"HIP002.40","mc100-6","mc99-6","mc98-6","mc97-5","mc96-5","mc95-5","mc94-5","mc93-5","mc92-4","mc91-4","mc90-4","mc89-4","mc88-3","mc87-3","mc86-3","mc85-3","mc84-2","mc83-2","mc82-2","mc81-1","mc80-1","mc79-1","mc78-23","mc77-23","mc76-23","mc75-24","mc74-24","mc73-24","mc72-23","mc71-23","mc70-23","mc69-23","mc68-23","mc67-23","mc66-23","mc65-22","mc64-22","mc63-22","mc62-22","mc61-23","mc60-23","mc59-24","mc58-24","mc57-24","mc56-23","mc55-23","mc54-22","mc53-22","mc52-22","mc51-22","mc50-21","mc49-21","mc48-21","mc47-21","mc46-20","mc45-20","mc44-19","mc43-18","mc42-18","mc41-17","mc40-16","mc39-15","mc38-14","mc37-13","mc36-12","mc35-10","mc34-9","mc33-8","mc32-6","mc31-4","mc30-2","mc29-54","mc28-53","mc27-54","mc26-52","mc25-51","mc24-50","mc23-50","mc22-50","mc21-48","mc20-45","mc19-42","mc18-37","mc17-32","mc16-25","mc15-18","mc14-9","mc13-39","mc12-28","mc11-14","mc10-61","mc9-45","mc8-22","mc7-186","mc6-173","mc5-139","mc4-65","mc3-338","mc2-163"
"HIP002.54","mc100-8","mc99-8","mc98-8","mc97-8","mc96-8","mc95-8","mc94-8","mc93-8","mc92-7","mc91-7","mc90-7","mc89-7","mc88-6","mc87-6","mc86-6","mc85-6","mc84-6","mc83-6","mc82-6","mc81-5","mc80-5","mc79-5","mc78-5","mc77-5","mc76-5","mc75-4","mc74-4","mc73-4","mc72-3","mc71-3","mc70-3","mc69-2","mc68-2","mc67-1","mc66-1","mc65-29","mc64-29","mc63-30","mc62-30","mc61-31","mc60-31","mc59-32","mc58-32","mc57-33","mc56-34","mc55-34","mc54-35","mc53-36","mc52-36","mc51-36","mc50-36","mc49-37","mc48-37","mc47-37","mc46-38","mc45-39","mc44-39","mc43-40","mc42-41","mc41-43","mc40-44","mc39-43","mc38-43","mc37-43","mc36-44","mc35-44","mc34-44","mc33-44","mc32-44","mc31-43","mc30-43","mc29-41","mc28-39","mc27-36","mc26-34","mc25-33","mc24-31","mc23-29","mc22-26","mc21-24","mc20-20","mc19-16","mc18-10","mc17-4","mc16-82","mc15-81","mc14-79","mc13-75","mc12-67","mc11-57","mc10-43","mc9-24","mc8-89","mc7-64","mc6-20","mc5-112","mc4-29","mc3-99","mc2-23"
"HIP002.55","mc100-6","mc99-6","mc98-6","mc97-5","mc96-5","mc95-5","mc94-5","mc93-5","mc92-4","mc91-4","mc90-4","mc89-4","mc88-3","mc87-3","mc86-3","mc85-3","mc84-2","mc83-2","mc82-2","mc81-1","mc80-1","mc79-1","mc78-3","mc77-3","mc76-3","mc75-2","mc74-2","mc73-2","mc72-1","mc71-1","mc70-1","mc69-28","mc68-28","mc67-28","mc66-28","mc65-28","mc64-28","mc63-29","mc62-29","mc61-30","mc60-30","mc59-31","mc58-31","mc57-32","mc56-33","mc55-33","mc54-34","mc53-34","mc52-34","mc51-34","mc50-34","mc49-35","mc48-35","mc47-35","mc46-35","mc45-35","mc44-35","mc43-36","mc42-37","mc41-37","mc40-38","mc39-37","mc38-37","mc37-37","mc36-37","mc35-37","mc34-37","mc33-37","mc32-35","mc31-34","mc30-34","mc29-31","mc28-29","mc27-26","mc26-23","mc25-21","mc24-19","mc23-15","mc22-11","mc21-7","mc20-2","mc19-92","mc18-94","mc17-96","mc16-98","mc15-99","mc14-102","mc13-103","mc12-98","mc11-95","mc10-84","mc9-71","mc8-55","mc7-21","mc6-244","mc5-251","mc4-223","mc3-123","mc2-461"
"HIP002.61","mc100-1","mc99-1","mc98-1","mc97-19","mc96-19","mc95-19","mc94-19","mc93-19","mc92-20","mc91-20","mc90-20","mc89-20","mc88-21","mc87-21","mc86-21","mc85-21","mc84-22","mc83-22","mc82-22","mc81-22","mc80-22","mc79-22","mc78-22","mc77-22","mc76-22","mc75-23","mc74-23","mc73-23","mc72-22","mc71-22","mc70-22","mc69-22","mc68-22","mc67-22","mc66-22","mc65-21","mc64-21","mc63-21","mc62-21","mc61-22","mc60-22","mc59-23","mc58-23","mc57-23","mc56-22","mc55-22","mc54-21","mc53-20","mc52-20","mc51-20","mc50-19","mc49-18","mc48-18","mc47-18","mc46-17","mc45-17","mc44-16","mc43-15","mc42-15","mc41-13","mc40-12","mc39-11","mc38-10","mc37-9","mc36-8","mc35-6","mc34-4","mc33-3","mc32-1","mc31-54","mc30-54","mc29-53","mc28-52","mc27-51","mc26-49","mc25-48","mc24-47","mc23-47","mc22-47","mc21-45","mc20-42","mc19-39","mc18-34","mc17-29","mc16-22","mc15-15","mc14-6","mc13-91","mc12-85","mc11-78","mc10-67","mc9-51","mc8-30","mc7-37","mc6-84","mc5-21","mc4-199","mc3-70","mc2-156"
