"","58","50","44","39","35","27","32","25","23","20","21","15","13","11","9","6","4"
"H1_Exp1.001","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-2","mc9-8","mc6-3","mc4-6"
"H1_Exp1.002","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-5","mc20-9","mc21-11","mc15-16","mc13-2","mc11-2","mc9-8",NA,NA
"H1_Exp1.003","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-2","mc9-8","mc6-3","mc4-5"
"H1_Exp1.004","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-15","mc15-19","mc13-8","mc11-7","mc9-1","mc6-2",NA
"H1_Exp1.006","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-1","mc6-4","mc4-4"
"H1_Exp1.007","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-9","mc6-4","mc4-7"
"H1_Exp1.008","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-10","mc23-5","mc20-17","mc21-11","mc15-14",NA,NA,NA,NA,NA
"H1_Exp1.009","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-7","mc32-7","mc25-7","mc23-3","mc20-9","mc21-10","mc15-21","mc13-2","mc11-7",NA,NA,NA
"H1_Exp1.010","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-2","mc9-8","mc6-3","mc4-6"
"H1_Exp1.011","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-7","mc9-1","mc6-9","mc4-2"
"H1_Exp1.012","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-15","mc15-19","mc13-8","mc11-2","mc9-6","mc6-2",NA
"H1_Exp1.014","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-1","mc6-4","mc4-4"
"H1_Exp1.015","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-2","mc9-8","mc6-7","mc4-3"
"H1_Exp1.016","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-6","mc6-2","mc4-7"
