"","50","49","48","47","46","45","44","43","42","41","40","39","38","37","36","35","34","33","32","31","30","29","28","27","26","25","24","23","22","21","20","19","18","17","16","15","14","13","12","11","10","9","8","7","6","5","4","3","2"
"H1_Exp1.001","mc50-7","mc49-7","mc48-7","mc47-7","mc46-8","mc45-8","mc44-8","mc43-8","mc42-8","mc41-8","mc40-8","mc39-8","mc38-8","mc37-8","mc36-7","mc35-7","mc34-7","mc33-6","mc32-6","mc31-6","mc30-6","mc29-6","mc28-6","mc27-5","mc26-5","mc25-5","mc24-4","mc23-4","mc22-3","mc21-2","mc20-1","mc19-1","mc18-1","mc17-14","mc16-15","mc15-14","mc14-13","mc13-12","mc12-11","mc11-8","mc10-8","mc9-5","mc8-24","mc7-25","mc6-24","mc5-15","mc4-13","mc3-21","mc2-20"
"H1_Exp1.002","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-5","mc21-5","mc20-4","mc19-4","mc18-4","mc17-3","mc16-2","mc15-1","mc14-11","mc13-10","mc12-9","mc11-6","mc10-6","mc9-3","mc8-11","mc7-5","mc6-20","mc5-11","mc4-38","mc3-29","mc2-64"
"H1_Exp1.003","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-11","mc20-10","mc19-10","mc18-10","mc17-10","mc16-9","mc15-8","mc14-6","mc13-4","mc12-3","mc11-19","mc10-19","mc9-17","mc8-15","mc7-9","mc6-2","mc5-8","mc4-12","mc3-47","mc2-2"
"H1_Exp1.004","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-9","mc21-9","mc20-8","mc19-8","mc18-8","mc17-8","mc16-7","mc15-6","mc14-4","mc13-2","mc12-2","mc11-17","mc10-17","mc9-15","mc8-13","mc7-7","mc6-36","mc5-35","mc4-29","mc3-9","mc2-36"
"H1_Exp1.006","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-5","mc21-5","mc20-4","mc19-4","mc18-4","mc17-3","mc16-2","mc15-1","mc14-11","mc13-10","mc12-9","mc11-6","mc10-6","mc9-3","mc8-26","mc7-27","mc6-28","mc5-22","mc4-5","mc3-31","mc2-39"
"H1_Exp1.007","mc50-7","mc49-7","mc48-7","mc47-7","mc46-8","mc45-8","mc44-8","mc43-8","mc42-8","mc41-8","mc40-8","mc39-8","mc38-8","mc37-8","mc36-7","mc35-7","mc34-7","mc33-6","mc32-6","mc31-6","mc30-6","mc29-6","mc28-6","mc27-5","mc26-5","mc25-5","mc24-4","mc23-4","mc22-3","mc21-2","mc20-1","mc19-1","mc18-1","mc17-5","mc16-4","mc15-3","mc14-1","mc13-7","mc12-6","mc11-3","mc10-3","mc9-13","mc8-10","mc7-4","mc6-11","mc5-18","mc4-1","mc3-15","mc2-84"
"H1_Exp1.008","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-9","mc21-9","mc20-8","mc19-8","mc18-8","mc17-8","mc16-7","mc15-6","mc14-4","mc13-2","mc12-2","mc11-21","mc10-21","mc9-19","mc8-19","mc7-17","mc6-10","mc5-23","mc4-7","mc3-36","mc2-43"
"H1_Exp1.009","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-9","mc21-9","mc20-8","mc19-8","mc18-8","mc17-8","mc16-7","mc15-6","mc14-4","mc13-2","mc12-19","mc11-20","mc10-20","mc9-18","mc8-16","mc7-10","mc6-3","mc5-44","mc4-45","mc3-42","mc2-42"
"H1_Exp1.010","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-3","mc20-2","mc19-2","mc18-2","mc17-1","mc16-11","mc15-10","mc14-8","mc13-6","mc12-5","mc11-2","mc10-2","mc9-21","mc8-22","mc7-20","mc6-14","mc5-2","mc4-36","mc3-23","mc2-26"
"H1_Exp1.011","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-9","mc21-9","mc20-8","mc19-8","mc18-8","mc17-8","mc16-7","mc15-6","mc14-4","mc13-2","mc12-2","mc11-21","mc10-21","mc9-19","mc8-19","mc7-17","mc6-10","mc5-23","mc4-7","mc3-36","mc2-63"
