"","192","193","178","165","154","155","145","136","129","122","137","116","111","106","102","98","94","97","90","84","87","78","74","76","81","72","71","66","69","61","59","64","58","54","51","45","46","42","38","33","34","29","27","26","23","22","19","18","16","15","14","12","10","9","8","7","5","4"
"W2035173","mc192-11","mc193-11","mc178-5","mc165-14","mc154-14","mc155-12","mc145-11","mc136-14","mc129-7","mc122-14","mc137-6","mc116-14","mc111-14","mc106-16","mc102-17","mc98-18","mc94-19","mc97-19","mc90-19","mc84-16","mc87-19","mc78-25","mc74-22","mc76-25","mc81-21","mc72-26","mc71-26","mc66-27","mc69-23","mc61-28","mc59-24","mc64-36","mc58-30","mc54-41","mc51-38","mc45-45","mc46-40","mc42-23","mc38-30","mc33-38","mc34-48","mc29-82","mc27-32","mc26-74","mc23-104","mc22-104","mc19-124","mc18-119","mc16-108","mc15-86","mc14-114","mc12-80","mc10-149","mc9-190","mc8-179","mc7-238","mc5-282","mc4-5"
"W2035187","mc192-1","mc193-2","mc178-7","mc165-9","mc154-12","mc155-15","mc145-14","mc136-15","mc129-8","mc122-18","mc137-14","mc116-19","mc111-21","mc106-21","mc102-20","mc98-24","mc94-23","mc97-24","mc90-23","mc84-11","mc87-23","mc78-25","mc74-27","mc76-31","mc81-28","mc72-26","mc71-24","mc66-27","mc69-22","mc61-27","mc59-24","mc64-36","mc58-30","mc54-41","mc51-40","mc45-29","mc46-40","mc42-34","mc38-21","mc33-23","mc34-45","mc29-78","mc27-49","mc26-65","mc23-105","mc22-103","mc19-81","mc18-121","mc16-110","mc15-131","mc14-113","mc12-66","mc10-153","mc9-193","mc8-173","mc7-242","mc5-408",NA
"W2035190","mc192-11","mc193-11","mc178-5","mc165-14","mc154-14","mc155-12","mc145-11","mc136-14","mc129-7","mc122-14","mc137-6","mc116-14","mc111-14","mc106-16","mc102-17","mc98-18","mc94-18","mc97-19","mc90-20","mc84-15","mc87-20","mc78-24","mc74-23","mc76-26","mc81-22","mc72-25","mc71-25","mc66-29","mc69-24","mc61-26","mc59-25","mc64-37","mc58-31","mc54-27","mc51-31","mc45-30","mc46-38","mc42-22","mc38-20","mc33-24","mc34-46","mc29-79","mc27-27","mc26-63","mc23-98","mc22-86","mc19-75","mc18-127","mc16-93","mc15-134","mc14-115","mc12-73","mc10-155","mc9-179","mc8-179","mc7-277","mc5-288","mc4-220"
"W2035195","mc192-9","mc193-10","mc178-3","mc165-12","mc154-2","mc155-9","mc145-2","mc136-3","mc129-5","mc122-3","mc137-2","mc116-3","mc111-3","mc106-5","mc102-1","mc98-4","mc94-7","mc97-4","mc90-4","mc84-2","mc87-7","mc78-6","mc74-2","mc76-5","mc81-5","mc72-7","mc71-9","mc66-11","mc69-8","mc61-8","mc59-1","mc64-9","mc58-11","mc54-12","mc51-5","mc45-5","mc46-16","mc42-6","mc38-9","mc33-14","mc34-14","mc29-1","mc27-17","mc26-21","mc23-7","mc22-25","mc19-27","mc18-25","mc16-29","mc15-31","mc14-41","mc12-59","mc10-45","mc9-50","mc8-79","mc7-110","mc5-97","mc4-525"
"W2035197","mc192-11","mc193-11","mc178-5","mc165-14","mc154-14","mc155-12","mc145-11","mc136-14","mc129-7","mc122-14","mc137-6","mc116-14","mc111-14","mc106-16","mc102-17","mc98-18","mc94-18","mc97-19","mc90-20","mc84-15","mc87-20","mc78-24","mc74-22","mc76-25","mc81-21","mc72-25","mc71-25","mc66-29","mc69-24","mc61-26","mc59-26","mc64-37","mc58-31","mc54-28","mc51-31","mc45-31","mc46-38","mc42-22","mc38-20","mc33-26","mc34-46","mc29-79","mc27-27","mc26-63","mc23-103","mc22-86","mc19-83","mc18-68","mc16-93","mc15-133","mc14-108","mc12-86","mc10-168","mc9-178","mc8-179","mc7-246","mc5-298",NA
"W2035202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mc94-18",NA,"mc90-20","mc84-15","mc87-20","mc78-24","mc74-23","mc76-26","mc81-22","mc72-25","mc71-25","mc66-29","mc69-24","mc61-26","mc59-25","mc64-37","mc58-31","mc54-27","mc51-31","mc45-31","mc46-38","mc42-22","mc38-20","mc33-26","mc34-46","mc29-79","mc27-27","mc26-63","mc23-95","mc22-101","mc19-83","mc18-68","mc16-93","mc15-97","mc14-108","mc12-81","mc10-168","mc9-178","mc8-179","mc7-242","mc5-298","mc4-32"
"W2035206","mc192-10","mc193-8","mc178-1","mc165-10","mc154-4","mc155-11","mc145-1","mc136-1","mc129-4","mc122-1","mc137-1","mc116-1","mc111-2","mc106-2","mc102-3","mc98-1","mc94-4","mc97-1","mc90-8","mc84-3","mc87-5","mc78-2","mc74-4","mc76-6","mc81-1","mc72-11","mc71-6","mc66-9","mc69-6","mc61-7","mc59-4","mc64-7","mc58-9","mc54-14","mc51-6","mc45-8","mc46-5","mc42-16","mc38-17","mc33-21","mc34-17","mc29-19","mc27-22","mc26-15","mc23-10","mc22-28","mc19-30","mc18-28","mc16-17","mc15-37","mc14-47","mc12-63","mc10-57","mc9-55","mc8-20","mc7-97","mc5-11","mc4-417"
"W2035207","mc192-9","mc193-7","mc178-3","mc165-12","mc154-1","mc155-7","mc145-4","mc136-4","mc129-1","mc122-4","mc137-3","mc116-4","mc111-5","mc106-6","mc102-5","mc98-6","mc94-1","mc97-6","mc90-1","mc84-7","mc87-1","mc78-7","mc74-7","mc76-1","mc81-7","mc72-1","mc71-1","mc66-5","mc69-2","mc61-1","mc59-10","mc64-1","mc58-6","mc54-2","mc51-13","mc45-16","mc46-12","mc42-8","mc38-10","mc33-1","mc34-7","mc29-24","mc27-3","mc26-26","mc23-89","mc22-108","mc19-18","mc18-133","mc16-149","mc15-8","mc14-12","mc12-11","mc10-13","mc9-14","mc8-8","mc7-12","mc5-128","mc4-490"
"W2035211","mc192-8","mc193-9","mc178-2","mc165-11","mc154-3","mc155-8","mc145-5","mc136-5","mc129-2","mc122-6","mc137-5","mc116-5","mc111-6","mc106-8","mc102-8","mc98-8","mc94-2","mc97-8","mc90-2","mc84-9","mc87-2","mc78-10","mc74-8","mc76-2","mc81-8","mc72-3","mc71-4","mc66-4","mc69-3","mc61-4","mc59-7","mc64-3","mc58-4","mc54-5","mc51-9","mc45-10","mc46-8","mc42-3","mc38-16","mc33-10","mc34-18","mc29-8","mc27-11","mc26-8","mc23-17","mc22-29","mc19-32","mc18-11","mc16-24","mc15-40","mc14-35","mc12-27","mc10-34","mc9-42","mc8-63","mc7-41","mc5-44","mc4-456"
"W2035214","mc192-11","mc193-11","mc178-5","mc165-14","mc154-14","mc155-12","mc145-11","mc136-14","mc129-7","mc122-14","mc137-6","mc116-14","mc111-14","mc106-16","mc102-17","mc98-18","mc94-18","mc97-19","mc90-20","mc84-15","mc87-20","mc78-24","mc74-23","mc76-26","mc81-22","mc72-25","mc71-25","mc66-29","mc69-24","mc61-26","mc59-25","mc64-37","mc58-31","mc54-27","mc51-31","mc45-30","mc46-38","mc42-22","mc38-63","mc33-70","mc34-42","mc29-48","mc27-51","mc26-62","mc23-100","mc22-100","mc19-119","mc18-125","mc16-108","mc15-152","mc14-154","mc12-92","mc10-169",NA,NA,NA,NA,NA
"W2035221","mc192-12","mc193-12","mc178-4","mc165-14","mc154-15","mc155-13","mc145-12","mc136-13","mc129-7","mc122-15","mc137-7","mc116-15","mc111-15","mc106-15","mc102-18","mc98-19","mc94-17","mc97-18","mc90-18","mc84-14","mc87-18","mc78-22","mc74-21","mc76-24","mc81-20","mc72-23","mc71-24","mc66-30","mc69-22","mc61-27","mc59-28","mc64-34","mc58-29","mc54-26","mc51-30","mc45-29","mc46-36","mc42-20","mc38-21","mc33-23","mc34-45","mc29-78","mc27-49","mc26-65","mc23-105","mc22-103","mc19-81","mc18-121","mc16-95","mc15-131","mc14-113","mc12-70","mc10-148","mc9-189","mc8-282","mc7-279","mc5-360","mc4-6"
